Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    June 30, 2008
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1002556|VAN WAGONER FUNDS INC|N-14|2008-06-17|edgar/data/1002556/0001104659-08-040437.txt
1004155|AGL RESOURCES INC|8-K|2008-05-01|edgar/data/1004155/0001004155-08-000075.txt
101829|UNITED TECHNOLOGIES CORP /DE/|8-K|2008-04-17|edgar/data/101829/0001193125-08-083193.txt
1024446|NET SERVICOS DE COMUNICACAO S A|6-K|2008-05-15|edgar/data/1024446/0001292814-08-001490.txt
1037016|NII HOLDINGS INC|8-K|2008-04-07|edgar/data/1037016/0000950133-08-001465.txt
1056084|REUTERS GROUP PLC /ADR/|6-K|2008-04-11|edgar/data/1056084/0000950135-08-002489.txt
1081400|WELLS FARGO FUNDS TRUST|N-14|2008-04-01|edgar/data/1081400/0001193125-08-071480.txt
1086165|OPPENHEIMER MAIN STREET SMALL CAP FUND|485BPOS|2008-04-02|edgar/data/1086165/0001133228-08-000283.txt
108772|XEROX CORP|8-K|2008-05-08|edgar/data/108772/0001193125-08-107935.txt
1091530|XM SATELLITE RADIO HOLDINGS INC|8-K|2008-05-12|edgar/data/1091530/0001193125-08-111669.txt
1109357|EXELON CORP|8-K|2008-06-10|edgar/data/1109357/0001193125-08-131146.txt
1119639|BRAZILIAN PETROLEUM CORP|6-K|2008-04-08|edgar/data/1119639/0001292814-08-001030.txt
1156375|CME GROUP INC.|8-K|2008-05-30|edgar/data/1156375/0001193125-08-125409.txt
1156375|CME GROUP INC.|8-K|2008-06-02|edgar/data/1156375/0001193125-08-126458.txt
1156375|CME GROUP INC.|8-K|2008-06-05|edgar/data/1156375/0001193125-08-128568.txt
1160330|BANK BRADESCO|6-K|2008-05-28|edgar/data/1160330/0001292814-08-001598.txt
1166691|COMCAST CORP|8-K|2008-04-07|edgar/data/1166691/0001193125-08-076330.txt
1166691|COMCAST CORP|8-K|2008-05-20|edgar/data/1166691/0001193125-08-119258.txt
1168165|EXELON GENERATION CO LLC|8-K|2008-06-10|edgar/data/1168165/0001193125-08-131148.txt
1183829|FIRST AMERICAN MINNESOTA MUNICIPAL INCOME FUND II INC|N-CSRS/A|2008-06-03|edgar/data/1183829/0001104659-08-037511.txt
1209466|POWERSHARES EXCHANGE TRADED FUND TRUST|485BPOS|2008-05-23|edgar/data/1209466/0001104659-08-035681.txt
1303682|Lehman Brothers Institutional Liquidity Cash Management Funds|485APOS|2008-05-30|edgar/data/1303682/0000898432-08-000519.txt
1310243|Alpha Natural Resources, Inc.|8-K|2008-06-23|edgar/data/1310243/0001140361-08-015489.txt
1316631|Liberty Global, Inc.|8-K|2008-06-19|edgar/data/1316631/0001193125-08-136661.txt
1317474|LEHMAN BROTHERS INSTITUTIONAL LIQUIDITY FUNDS|485APOS|2008-05-30|edgar/data/1317474/0000898432-08-000527.txt
1355096|LIBERTY MEDIA CORP|8-K|2008-04-17|edgar/data/1355096/0001104659-08-025031.txt
1355096|LIBERTY MEDIA CORP|8-K|2008-06-24|edgar/data/1355096/0001104659-08-041704.txt
1368007|NYSE Euronext|8-K|2008-04-30|edgar/data/1368007/0001193125-08-097193.txt
1383312|BROADRIDGE FINANCIAL SOLUTIONS, INC.|8-K|2008-05-30|edgar/data/1383312/0001193125-08-125732.txt
1384357|OLD MUTUAL EMERGING MANAGERS INSTITUTIONAL FUND, LLC|POS 8C|2008-06-04|edgar/data/1384357/0000902664-08-002160.txt
1384358|OLD MUTUAL ABSOLUTE RETURN INSTITUTIONAL FUND, LLC|POS 8C|2008-06-04|edgar/data/1384358/0000902664-08-002161.txt
1413329|Philip Morris International Inc.|8-K|2008-06-06|edgar/data/1413329/0001157523-08-004897.txt
22606|COMMONWEALTH EDISON CO|8-K|2008-06-10|edgar/data/22606/0001193125-08-131153.txt
28540|FIDELITY OXFORD STREET TRUST|485BPOS|2008-05-06|edgar/data/28540/0000028540-08-000001.txt
29669|RR Donnelley & Sons Co|8-K|2008-05-09|edgar/data/29669/0001193125-08-109894.txt
29915|DOW CHEMICAL CO /DE/|8-K|2008-05-27|edgar/data/29915/0001104659-08-035887.txt
30554|DUPONT E I DE NEMOURS & CO|8-K|2008-04-07|edgar/data/30554/0000950135-08-002354.txt
30554|DUPONT E I DE NEMOURS & CO|8-K|2008-04-29|edgar/data/30554/0000950135-08-003083.txt
35315|FIDELITY FIXED INCOME TRUST|485BPOS|2008-04-03|edgar/data/35315/0000035315-08-000012.txt
36405|VANGUARD INDEX FUNDS|485BPOS|2008-04-09|edgar/data/36405/0000932471-08-001045.txt
36405|VANGUARD INDEX FUNDS|485BPOS|2008-05-30|edgar/data/36405/0000932471-08-001220.txt
37996|FORD MOTOR CO|8-K|2008-05-23|edgar/data/37996/0001157523-08-004551.txt
38009|FORD MOTOR CREDIT CO LLC|8-K|2008-05-28|edgar/data/38009/0001157523-08-004616.txt
40545|GENERAL ELECTRIC CO|8-K|2008-04-07|edgar/data/40545/0000040545-08-000013.txt
40704|GENERAL MILLS INC|8-K/A|2008-04-18|edgar/data/40704/0000950135-08-002601.txt
40704|GENERAL MILLS INC|8-K|2008-04-14|edgar/data/40704/0000950135-08-002507.txt
4281|ALCOA INC|8-K|2008-04-01|edgar/data/4281/0001193125-08-072455.txt
4281|ALCOA INC|8-K|2008-05-08|edgar/data/4281/0001193125-08-107986.txt
51143|INTERNATIONAL BUSINESS MACHINES CORP|8-K|2008-06-24|edgar/data/51143/0001104659-08-041705.txt
715957|DOMINION RESOURCES INC /VA/|8-K|2008-06-05|edgar/data/715957/0001193125-08-128788.txt
718573|RADYNE CORP|8-K|2008-05-14|edgar/data/718573/0001193125-08-114454.txt
72207|NOBLE ENERGY INC|8-K|2008-06-25|edgar/data/72207/0001140361-08-015667.txt
745968|FEDERATED EQUITY FUNDS|485BPOS|2008-04-10|edgar/data/745968/0001193125-08-078871.txt
764180|ALTRIA GROUP, INC.|8-K|2008-04-15|edgar/data/764180/0001157523-08-002900.txt
764180|ALTRIA GROUP, INC.|8-K|2008-06-19|edgar/data/764180/0001157523-08-005086.txt
764901|CONNECTICUT DAILY TAX FREE INCOME FUND INC|N-CSR|2008-04-09|edgar/data/764901/0000764901-08-000017.txt
769397|AUTODESK INC|8-K|2008-04-11|edgar/data/769397/0001193125-08-079930.txt
769397|AUTODESK INC|8-K|2008-06-13|edgar/data/769397/0001193125-08-133580.txt
773910|ANADARKO PETROLEUM CORP|8-K|2008-06-11|edgar/data/773910/0001193125-08-131911.txt
773910|ANADARKO PETROLEUM CORP|8-K|2008-06-25|edgar/data/773910/0001193125-08-139986.txt
77476|PEPSICO INC|8-K|2008-04-24|edgar/data/77476/0001157523-08-003280.txt
78100|PECO ENERGY CO|8-K|2008-06-10|edgar/data/78100/0001193125-08-131157.txt
789019|MICROSOFT CORP|8-K|2008-04-24|edgar/data/789019/0001193125-08-089475.txt
796343|ADOBE SYSTEMS INC|10-Q|2008-04-04|edgar/data/796343/0001047469-08-004108.txt
804055|COCA COLA ENTERPRISES INC|8-K|2008-05-02|edgar/data/804055/0001193125-08-100599.txt
806085|LEHMAN BROTHERS HOLDINGS INC|8-K|2008-04-11|edgar/data/806085/0001193125-08-079567.txt
811030|PROFESSIONALLY MANAGED PORTFOLIOS|485BPOS|2008-06-23|edgar/data/811030/0000894189-08-001891.txt
811030|PROFESSIONALLY MANAGED PORTFOLIOS|485BPOS|2008-06-24|edgar/data/811030/0000894189-08-001914.txt
815556|FASTENAL CO|8-K|2008-04-29|edgar/data/815556/0001193125-08-094422.txt
818686|TEVA PHARMACEUTICAL INDUSTRIES LTD|6-K|2008-05-29|edgar/data/818686/0001193125-08-124536.txt
838131|AMERICAN INCOME FUND INC /VA|N-CSRS/A|2008-06-03|edgar/data/838131/0001104659-08-037502.txt
866782|NEW JERSEY DAILY MUNICIPAL INCOME FUND INC|N-CSR|2008-04-09|edgar/data/866782/0000764901-08-000019.txt
8670|AUTOMATIC DATA PROCESSING INC|8-K|2008-04-02|edgar/data/8670/0000008670-08-000032.txt
8670|AUTOMATIC DATA PROCESSING INC|8-K|2008-06-02|edgar/data/8670/0000008670-08-000046.txt
878930|AMERICAN STRATEGIC INCOME PORTFOLIO INC|N-CSRS/A|2008-06-03|edgar/data/878930/0001104659-08-037513.txt
883984|ICU MEDICAL INC/DE|10-Q|2008-05-05|edgar/data/883984/0001104659-08-029959.txt
886984|AMERICAN STRATEGIC INCOME PORTFOLIO INC II|N-CSRS/A|2008-06-03|edgar/data/886984/0001104659-08-037515.txt
