Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    December 31, 2009
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000697|WATERS CORP /DE/|10-Q|2009-11-06|edgar/data/1000697/0000950123-09-058936.txt
1001039|WALT DISNEY CO/|10-K|2009-12-02|edgar/data/1001039/0001193125-09-245848.txt
1001082|DISH Network CORP|10-Q|2009-11-09|edgar/data/1001082/0000950123-09-059772.txt
1001838|SOUTHERN COPPER CORP/|10-Q|2009-10-30|edgar/data/1001838/0001104659-09-061539.txt
1002638|OPEN TEXT CORP|10-Q|2009-10-28|edgar/data/1002638/0001193125-09-216185.txt
1002910|AMEREN CORP|10-Q|2009-11-09|edgar/data/1002910/0001193125-09-229036.txt
1004155|AGL RESOURCES INC|10-Q|2009-10-29|edgar/data/1004155/0001004155-09-000088.txt
1004440|CONSTELLATION ENERGY GROUP INC|10-Q|2009-11-06|edgar/data/1004440/0001047469-09-009718.txt
1004980|PG&E CORP|10-Q|2009-10-29|edgar/data/1004980/0001004980-09-000102.txt
100826|UNION ELECTRIC CO|10-Q|2009-11-09|edgar/data/100826/0001193125-09-229036.txt
100885|UNION PACIFIC CORP|10-Q|2009-10-22|edgar/data/100885/0001193125-09-212075.txt
1010775|MIRANT CORP|10-Q|2009-11-06|edgar/data/1010775/0001193125-09-226432.txt
1011006|YAHOO INC|10-Q|2009-11-06|edgar/data/1011006/0001193125-09-227594.txt
1013871|NRG ENERGY, INC.|10-Q|2009-11-02|edgar/data/1013871/0000950123-09-056216.txt
1014473|VERISIGN INC/CA|10-Q|2009-11-06|edgar/data/1014473/0001193125-09-227646.txt
1014739|BioScrip, Inc.|10-Q|2009-11-02|edgar/data/1014739/0001014739-09-000045.txt
101778|MARATHON OIL CORP|10-Q|2009-11-06|edgar/data/101778/0000101778-09-000123.txt
101829|UNITED TECHNOLOGIES CORP /DE/|10-Q|2009-10-23|edgar/data/101829/0001193125-09-212352.txt
101830|SPRINT NEXTEL CORP|10-Q|2009-11-06|edgar/data/101830/0001193125-09-227316.txt
1018724|AMAZON COM INC|10-Q|2009-10-23|edgar/data/1018724/0001193125-09-212134.txt
1018963|ALLEGHENY TECHNOLOGIES INC|10-Q|2009-11-05|edgar/data/1018963/0000950123-09-058421.txt
1021860|NATIONAL OILWELL VARCO INC|10-Q|2009-11-06|edgar/data/1021860/0000950123-09-058999.txt
1022079|QUEST DIAGNOSTICS INC|10-Q|2009-10-27|edgar/data/1022079/0000930413-09-005367.txt
1022646|ULTRA PETROLEUM CORP|10-Q|2009-10-30|edgar/data/1022646/0000950123-09-055354.txt
1022671|STEEL DYNAMICS INC|10-Q|2009-11-06|edgar/data/1022671/0001104659-09-063309.txt
1023131|COVANCE INC|10-Q|2009-11-02|edgar/data/1023131/0001104659-09-061707.txt
1024478|ROCKWELL AUTOMATION INC|10-K|2009-11-18|edgar/data/1024478/0000950123-09-063897.txt
1031296|FIRSTENERGY CORP|10-Q|2009-11-09|edgar/data/1031296/0001031296-09-000035.txt
1032033|SLM CORP|10-Q|2009-11-05|edgar/data/1032033/0000950123-09-057759.txt
1032208|SEMPRA ENERGY|10-Q|2009-11-09|edgar/data/1032208/0000086521-09-000062.txt
103379|V F CORP|10-Q|2009-11-10|edgar/data/103379/0000950123-09-060619.txt
1035002|VALERO ENERGY CORP/TX|10-Q|2009-11-05|edgar/data/1035002/0000950123-09-058514.txt
1035267|INTUITIVE SURGICAL INC|10-Q|2009-10-21|edgar/data/1035267/0001193125-09-211111.txt
1037016|NII HOLDINGS INC|10-Q|2009-11-04|edgar/data/1037016/0000950123-09-057710.txt
1037540|BOSTON PROPERTIES INC|10-Q|2009-11-05|edgar/data/1037540/0001193125-09-225470.txt
1037676|ARCH COAL INC|10-Q|2009-11-09|edgar/data/1037676/0000950123-09-060325.txt
1037868|AMETEK INC/|10-Q|2009-11-05|edgar/data/1037868/0000950123-09-058209.txt
1037949|QWEST COMMUNICATIONS INTERNATIONAL INC|10-Q|2009-10-28|edgar/data/1037949/0001047469-09-009249.txt
1038357|PIONEER NATURAL RESOURCES CO|10-Q|2009-11-06|edgar/data/1038357/0001193125-09-227713.txt
1039101|L 3 COMMUNICATIONS CORP|10-Q|2009-11-04|edgar/data/1039101/0000950123-09-057422.txt
1039684|ONEOK INC /NEW/|10-Q|2009-11-05|edgar/data/1039684/0001039684-09-000083.txt
1041061|YUM BRANDS INC|10-Q|2009-10-13|edgar/data/1041061/0001041061-09-000240.txt
104169|WAL MART STORES INC|10-Q|2009-12-08|edgar/data/104169/0001193125-09-248603.txt
1043121|BOSTON PROPERTIES LTD PARTNERSHIP|10-Q|2009-11-05|edgar/data/1043121/0001193125-09-225476.txt
1043219|ANNALY CAPITAL MANAGEMENT INC|10-Q|2009-11-05|edgar/data/1043219/0001157523-09-007722.txt
1043277|C H ROBINSON WORLDWIDE INC|10-Q|2009-11-09|edgar/data/1043277/0001193125-09-228752.txt
1043604|JUNIPER NETWORKS INC|10-Q|2009-11-06|edgar/data/1043604/0000950123-09-059246.txt
10456|BAXTER INTERNATIONAL INC|10-Q|2009-10-29|edgar/data/10456/0000950123-09-054957.txt
1045810|NVIDIA CORP|10-Q|2009-11-19|edgar/data/1045810/0001045810-09-000036.txt
1047122|RAYTHEON CO/|10-Q|2009-10-22|edgar/data/1047122/0001193125-09-212087.txt
1047862|CONSOLIDATED EDISON INC|10-Q|2009-11-02|edgar/data/1047862/0001193125-09-219909.txt
1048286|MARRIOTT INTERNATIONAL INC /MD/|10-Q|2009-10-09|edgar/data/1048286/0001193125-09-206036.txt
1048911|FEDEX CORP|10-Q|2009-12-18|edgar/data/1048911/0000950123-09-071812.txt
1050915|QUANTA SERVICES INC|10-Q|2009-11-09|edgar/data/1050915/0000950123-09-060286.txt
1051470|CROWN CASTLE INTERNATIONAL CORP|10-Q|2009-11-06|edgar/data/1051470/0001193125-09-225905.txt
1053112|CABLEVISION SYSTEMS CORP /NY|10-Q|2009-11-03|edgar/data/1053112/0001104659-09-062216.txt
1053507|AMERICAN TOWER CORP /MA/|10-Q|2009-11-05|edgar/data/1053507/0001193125-09-225699.txt
1054374|BROADCOM CORP|10-Q|2009-10-22|edgar/data/1054374/0000950123-09-052329.txt
1056239|L 3 COMMUNICATIONS HOLDINGS INC|10-Q|2009-11-04|edgar/data/1056239/0000950123-09-057422.txt
1056358|MANNATECH INC|10-Q/A|2009-11-05|edgar/data/1056358/0001056358-09-000081.txt
1058057|MARVELL TECHNOLOGY GROUP LTD|10-Q|2009-12-09|edgar/data/1058057/0001193125-09-249894.txt
1058290|COGNIZANT TECHNOLOGY SOLUTIONS CORP|10-Q|2009-11-06|edgar/data/1058290/0001193125-09-227443.txt
1059324|PETROHAWK ENERGY CORP|10-Q|2009-11-05|edgar/data/1059324/0001193125-09-224187.txt
1059556|MOODYS CORP /DE/|10-Q|2009-11-05|edgar/data/1059556/0001193125-09-224228.txt
1060391|REPUBLIC SERVICES, INC.|10-Q|2009-11-04|edgar/data/1060391/0000950123-09-057068.txt
106040|WESTERN DIGITAL CORP|10-Q|2009-10-29|edgar/data/106040/0000950123-09-054900.txt
1061219|ENTERPRISE PRODUCTS PARTNERS L P|10-Q|2009-11-09|edgar/data/1061219/0001061219-09-000119.txt
1061219|ENTERPRISE PRODUCTS PARTNERS L P|8-K|2009-12-04|edgar/data/1061219/0001061219-09-000127.txt
1062579|AMDOCS LTD|20-F|2009-12-07|edgar/data/1062579/0000950123-09-068873.txt
1063761|SIMON PROPERTY GROUP INC /DE/|10-Q|2009-11-05|edgar/data/1063761/0001047469-09-009591.txt
1064728|PEABODY ENERGY CORP|10-Q|2009-11-06|edgar/data/1064728/0000950123-09-058979.txt
1065088|EBAY INC|10-Q|2009-10-27|edgar/data/1065088/0001193125-09-214947.txt
1065280|NETFLIX INC|10-Q|2009-10-26|edgar/data/1065280/0001193125-09-213071.txt
106535|WEYERHAEUSER CO|10-Q|2009-11-06|edgar/data/106535/0001193125-09-225868.txt
1066107|EL PASO CORP/DE|10-Q|2009-11-09|edgar/data/1066107/0000950123-09-059588.txt
1067983|BERKSHIRE HATHAWAY INC|10-Q|2009-11-06|edgar/data/1067983/0001157523-09-007839.txt
1070412|CONSOL Energy Inc|10-Q|2009-10-28|edgar/data/1070412/0001193125-09-215595.txt
1070423|PLAINS ALL AMERICAN PIPELINE LP|10-Q|2009-11-06|edgar/data/1070423/0001104659-09-063176.txt
1070750|HOST HOTELS & RESORTS, INC.|10-Q|2009-10-16|edgar/data/1070750/0001193125-09-209051.txt
107263|WILLIAMS COMPANIES INC|10-Q|2009-10-29|edgar/data/107263/0000950123-09-054484.txt
1076405|PEPSI BOTTLING GROUP INC|10-Q|2009-10-09|edgar/data/1076405/0000950123-09-049454.txt
10795|BECTON DICKINSON & CO|10-K|2009-11-25|edgar/data/10795/0000950123-09-066233.txt
1080224|EDGAR ONLINE INC|10-Q|2009-11-16|edgar/data/1080224/0001193125-09-235226.txt
1086195|ART TECHNOLOGY GROUP INC|10-Q|2009-11-06|edgar/data/1086195/0000950123-09-059339.txt
1086222|AKAMAI TECHNOLOGIES INC|10-Q|2009-11-09|edgar/data/1086222/0001193125-09-229337.txt
108772|XEROX CORP|10-Q|2009-10-22|edgar/data/108772/0001193125-09-212018.txt
1087835|BOTTLING GROUP LLC|10-Q|2009-10-09|edgar/data/1087835/0000950123-09-049456.txt
1090012|DEVON ENERGY CORP/DE|10-Q|2009-11-05|edgar/data/1090012/0000950123-09-058300.txt
1090727|UNITED PARCEL SERVICE INC|10-Q|2009-11-06|edgar/data/1090727/0001193125-09-227554.txt
1090872|AGILENT TECHNOLOGIES INC|10-K|2009-12-21|edgar/data/1090872/0001047469-09-010861.txt
1090872|AGILENT TECHNOLOGIES INC|10-Q/A|2009-10-05|edgar/data/1090872/0001140361-09-022500.txt
109198|TJX COMPANIES INC /DE/|10-Q|2009-12-01|edgar/data/109198/0000950123-09-067237.txt
1094093|PROGRESS ENERGY INC|10-Q|2009-11-06|edgar/data/1094093/0001094093-09-000218.txt
1099219|METLIFE INC|10-Q|2009-11-04|edgar/data/1099219/0000950123-09-057114.txt
1099534|EME HOMER CITY GENERATION LP|10-Q|2009-11-06|edgar/data/1099534/0001047469-09-009684.txt
1103982|KRAFT FOODS INC|10-Q|2009-11-03|edgar/data/1103982/0001193125-09-222258.txt
1103982|KRAFT FOODS INC|8-K|2009-11-03|edgar/data/1103982/0001193125-09-222247.txt
1105705|TIME WARNER INC.|10-Q|2009-11-04|edgar/data/1105705/0000950123-09-057262.txt
1108524|SALESFORCE COM INC|10-Q|2009-11-25|edgar/data/1108524/0001193125-09-242413.txt
1109357|EXELON CORP|10-Q|2009-10-23|edgar/data/1109357/0001193125-09-212818.txt
1113169|PRICE T ROWE GROUP INC|10-Q|2009-10-23|edgar/data/1113169/0000950123-09-052559.txt
1116132|COACH INC|10-Q|2009-11-04|edgar/data/1116132/0001144204-09-056543.txt
1121788|GARMIN LTD|10-Q|2009-11-04|edgar/data/1121788/0001144204-09-056412.txt
1122304|AETNA INC /PA/|10-Q|2009-10-29|edgar/data/1122304/0001122304-09-000105.txt
1124198|FLUOR CORP|10-Q|2009-11-09|edgar/data/1124198/0001104659-09-063687.txt
1125259|CARNIVAL PLC|10-Q|2009-10-01|edgar/data/1125259/0001193125-09-201646.txt
1126294|RRI ENERGY INC|10-Q|2009-11-05|edgar/data/1126294/0000950123-09-058104.txt
1126328|PRINCIPAL FINANCIAL GROUP INC|10-Q|2009-11-04|edgar/data/1126328/0001104659-09-062402.txt
1130310|CENTERPOINT ENERGY INC|10-Q|2009-10-28|edgar/data/1130310/0001130310-09-000049.txt
1130385|FOSTER WHEELER AG|10-Q|2009-11-04|edgar/data/1130385/0000950123-09-057515.txt
1133421|NORTHROP GRUMMAN CORP /DE/|10-Q|2009-10-21|edgar/data/1133421/0000950123-09-051815.txt
1134016|MIDWEST GENERATION LLC|10-Q|2009-11-06|edgar/data/1134016/0001047469-09-009683.txt
1135152|FMC TECHNOLOGIES INC|10-Q|2009-11-03|edgar/data/1135152/0001193125-09-221455.txt
1135361|AMEREN ENERGY GENERATING CO|10-Q|2009-11-09|edgar/data/1135361/0001193125-09-229036.txt
1135971|PEPCO HOLDINGS INC|10-Q|2009-10-29|edgar/data/1135971/0001193125-09-217423.txt
1136869|ZIMMER HOLDINGS INC|10-Q|2009-11-04|edgar/data/1136869/0000950123-09-057628.txt
1136893|Fidelity National Information Services, Inc.|10-Q|2009-11-05|edgar/data/1136893/0000950123-09-058365.txt
1137411|ROCKWELL COLLINS INC|10-K|2009-11-23|edgar/data/1137411/0001144204-09-061465.txt
1137774|PRUDENTIAL FINANCIAL INC|10-Q|2009-11-06|edgar/data/1137774/0001193125-09-227557.txt
1140859|AMERISOURCEBERGEN CORP|10-K|2009-11-25|edgar/data/1140859/0000950123-09-066012.txt
1141391|MASTERCARD INC|10-Q|2009-11-03|edgar/data/1141391/0001193125-09-222058.txt
1141982|Cooper Industries plc|10-Q|2009-11-05|edgar/data/1141982/0000950123-09-058426.txt
1144519|Bunge LTD|10-Q|2009-11-09|edgar/data/1144519/0001104659-09-063755.txt
1156039|WELLPOINT INC|10-Q|2009-10-28|edgar/data/1156039/0001193125-09-216157.txt
1156375|CME GROUP INC.|10-Q|2009-11-06|edgar/data/1156375/0001193125-09-227674.txt
1158659|PSEG POWER LLC|10-Q|2009-10-30|edgar/data/1158659/0000930413-09-005485.txt
1160661|SOUTHERN POWER CO|10-Q|2009-11-06|edgar/data/1160661/0000092122-09-000089.txt
1161976|PPL ENERGY SUPPLY LLC|10-Q|2009-10-30|edgar/data/1161976/0000922224-09-000114.txt
1163165|CONOCOPHILLIPS|10-Q|2009-11-03|edgar/data/1163165/0000950123-09-056991.txt
1163302|UNITED STATES STEEL CORP|10-Q|2009-10-27|edgar/data/1163302/0001193125-09-214606.txt
1163739|NABORS INDUSTRIES LTD|10-Q|2009-10-30|edgar/data/1163739/0000950123-09-055534.txt
1164727|NEWMONT MINING CORP /DE/|10-Q|2009-10-29|edgar/data/1164727/0000950123-09-054293.txt
1166126|J C PENNEY CO INC|10-Q|2009-12-09|edgar/data/1166126/0001166126-09-000060.txt
1166691|COMCAST CORP|10-Q|2009-11-04|edgar/data/1166691/0001193125-09-223314.txt
1167379|ALCON INC|6-K|2009-10-28|edgar/data/1167379/0001167379-09-000137.txt
1168054|CIMAREX ENERGY CO|10-Q|2009-11-03|edgar/data/1168054/0001104659-09-062141.txt
1168165|EXELON GENERATION CO LLC|10-Q|2009-10-23|edgar/data/1168165/0001193125-09-212818.txt
1169055|NOBLE CORP|10-Q|2009-11-06|edgar/data/1169055/0000950123-09-058947.txt
1170650|MEDCO HEALTH SOLUTIONS INC|10-Q|2009-11-03|edgar/data/1170650/0000950123-09-056892.txt
1172724|GOLD FIELDS LTD|20-F|2009-12-03|edgar/data/1172724/0001193125-09-246637.txt
1174746|INTERCONTINENTALEXCHANGE INC|10-Q|2009-11-03|edgar/data/1174746/0001193125-09-221387.txt
1201792|AMERICAN PUBLIC EDUCATION INC|10-Q|2009-11-05|edgar/data/1201792/0001157523-09-007768.txt
1222333|SPDR GOLD TRUST|10-K|2009-11-25|edgar/data/1222333/0000950123-09-066100.txt
1234307|DIRECTV FINANCING CO INC|10-Q|2009-11-06|edgar/data/1234307/0001047469-09-009633.txt
1234308|DIRECTV HOLDINGS LLC|10-Q|2009-11-06|edgar/data/1234308/0001047469-09-009633.txt
12659|H&R BLOCK INC|10-Q|2009-12-09|edgar/data/12659/0000950123-09-069608.txt
1267238|ASSURANT INC|10-Q|2009-11-04|edgar/data/1267238/0001193125-09-223907.txt
1274057|HOSPIRA INC|10-Q|2009-10-27|edgar/data/1274057/0001104659-09-060460.txt
1274494|FIRST SOLAR, INC.|10-Q|2009-10-30|edgar/data/1274494/0001274494-09-000032.txt
1275283|REYNOLDS AMERICAN INC|10-Q|2009-10-27|edgar/data/1275283/0000950123-09-053491.txt
1276520|GENWORTH FINANCIAL INC|10-Q|2009-11-02|edgar/data/1276520/0001193125-09-220398.txt
1281761|REGIONS FINANCIAL CORP|10-Q|2009-11-04|edgar/data/1281761/0001193125-09-223165.txt
1282266|WINDSTREAM CORP|10-Q|2009-11-09|edgar/data/1282266/0001193125-09-229040.txt
1288776|Google Inc.|10-Q|2009-11-04|edgar/data/1288776/0001193125-09-222384.txt
12927|BOEING CO|10-Q|2009-10-21|edgar/data/12927/0001193125-09-210918.txt
1301063|Alpha Natural Resources, Inc.|10-Q|2009-11-10|edgar/data/1301063/0001140361-09-025328.txt
1306830|Celanese CORP|10-Q|2009-10-27|edgar/data/1306830/0000950123-09-053754.txt
1308161|NEWS CORP|10-Q|2009-11-05|edgar/data/1308161/0001193125-09-224062.txt
1316631|Liberty Global, Inc.|10-Q|2009-11-04|edgar/data/1316631/0001193125-09-223922.txt
1324404|CF Industries Holdings, Inc.|10-Q|2009-11-02|edgar/data/1324404/0001047469-09-009429.txt
1326160|Duke Energy CORP|10-Q|2009-11-06|edgar/data/1326160/0001193125-09-227231.txt
1326380|GameStop Corp.|10-Q|2009-12-09|edgar/data/1326380/0000950123-09-069549.txt
1333141|Fresenius Medical Care AG & Co. KGaA|6-K|2009-11-03|edgar/data/1333141/0000950123-09-056737.txt
1335793|CNX Gas Corp|10-Q|2009-10-28|edgar/data/1335793/0001193125-09-215590.txt
1336047|Boardwalk Pipeline Partners, LP|10-Q|2009-10-28|edgar/data/1336047/0001336047-09-000053.txt
1339947|Viacom Inc.|10-Q|2009-11-03|edgar/data/1339947/0001193125-09-221448.txt
1341439|ORACLE CORP|10-Q|2009-12-22|edgar/data/1341439/0001193125-09-257212.txt
1345111|Tim Hortons Inc.|10-Q|2009-11-05|edgar/data/1345111/0001193125-09-225453.txt
1348952|Entergy Louisiana, LLC|10-Q|2009-11-06|edgar/data/1348952/0000065984-09-000219.txt
1349436|SANDRIDGE ENERGY INC|10-Q|2009-11-05|edgar/data/1349436/0001193125-09-225635.txt
1355096|LIBERTY MEDIA CORP|10-Q|2009-11-09|edgar/data/1355096/0001047469-09-009800.txt
1357615|KBR, INC.|10-Q|2009-10-29|edgar/data/1357615/0001140361-09-024015.txt
13610|BOWNE & CO INC|10-Q|2009-11-04|edgar/data/13610/0000950123-09-057630.txt
1364742|BlackRock Inc.|10-Q|2009-11-06|edgar/data/1364742/0001193125-09-227485.txt
1365135|Western Union CO|10-Q|2009-10-30|edgar/data/1365135/0001193125-09-219024.txt
1368007|NYSE Euronext|10-Q|2009-11-06|edgar/data/1368007/0001193125-09-227514.txt
1373835|Spectra Energy Corp.|10-Q|2009-11-06|edgar/data/1373835/0001193125-09-227752.txt
1378946|People's United Financial, Inc.|10-Q|2009-11-09|edgar/data/1378946/0001193125-09-229024.txt
1385157|Tyco Electronics Ltd.|10-K|2009-11-18|edgar/data/1385157/0001047469-09-010297.txt
1385187|Covidien plc|10-K|2009-11-20|edgar/data/1385187/0001193125-09-239236.txt
1390777|Bank of New York Mellon CORP|10-Q|2009-11-06|edgar/data/1390777/0001193125-09-227567.txt
1393311|Public Storage|10-Q|2009-11-09|edgar/data/1393311/0001393311-09-000035.txt
1393612|Discover Financial Services|10-Q|2009-10-07|edgar/data/1393612/0001193125-09-205021.txt
1396009|Vulcan Materials CO|10-Q|2009-11-06|edgar/data/1396009/0000950123-09-058668.txt
1403161|VISA INC.|10-K|2009-11-20|edgar/data/1403161/0001193125-09-239249.txt
