Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    September 30, 2005
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
101829|UNITED TECHNOLOGIES CORP /DE/|8-K|2005-08-19|edgar/data/101829/0001193125-05-171147.txt
101829|UNITED TECHNOLOGIES CORP /DE/|8-K|2005-09-01|edgar/data/101829/0001193125-05-178862.txt
1067491|INFOSYS TECHNOLOGIES LTD|6-K|2005-09-09|edgar/data/1067491/0000891618-05-000686.txt
1080224|EDGAR ONLINE INC|8-K|2005-09-26|edgar/data/1080224/0001275287-05-003667.txt
1080224|EDGAR ONLINE INC|8-K|2005-09-26|edgar/data/1080224/0001275287-05-003668.txt
310485|NATIONAL PROPERTY INVESTORS III|SC 13E3/A|2005-07-08|edgar/data/310485/0000950134-05-013056.txt
310485|NATIONAL PROPERTY INVESTORS III|SC TO-T/A|2005-07-08|edgar/data/310485/0000950134-05-013056.txt
789019|MICROSOFT CORP|8-K|2005-09-28|edgar/data/789019/0001193125-05-193215.txt
790070|EMC CORP|8-K|2005-08-05|edgar/data/790070/0000950135-05-004506.txt
796343|ADOBE SYSTEMS INC|8-K|2005-08-18|edgar/data/796343/0001104659-05-040250.txt
926660|AIMCO PROPERTIES L.P.|SC TO-T/A|2005-07-08|edgar/data/926660/0000950134-05-013056.txt
928753|BUSINESS OBJECTS S.A.|10-Q|2005-08-09|edgar/data/928753/0000891618-05-000573.txt
