Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    March 31, 2007
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
101829|UNITED TECHNOLOGIES CORP /DE/|8-K|2007-01-23|edgar/data/101829/0001193125-07-010498.txt
108772|XEROX CORP|8-K|2007-02-23|edgar/data/108772/0001193125-07-038429.txt
1166691|COMCAST CORP|8-K|2007-03-14|edgar/data/1166691/0001193125-07-054365.txt
1267994|ROBECO SAGE TRITON FUND LLC|N-2|2007-03-06|edgar/data/1267994/0000902664-07-001145.txt
1295230|International Securities Exchange Holdings, Inc.|8-K|2007-03-28|edgar/data/1295230/0001193125-07-066641.txt
1324443|American Independence Funds Trust|485APOS|2007-01-16|edgar/data/1324443/0000950123-07-000431.txt
1385255|XTF Investors Trust|N-1A/A|2007-03-09|edgar/data/1385255/0000910472-07-000086.txt
1385255|XTF Investors Trust|N-1A/A|2007-03-26|edgar/data/1385255/0000910472-07-000103.txt
1391975|EXCELSIOR DIRECTIONAL HEDGE FUND OF FUNDS (TE) LLC|N-2|2007-03-15|edgar/data/1391975/0000902664-07-001232.txt
1392173|YYY TRUST|N-1A|2007-03-19|edgar/data/1392173/0000897069-07-000803.txt
1392994|FIRST TRUST/GALLATIN SPECIALTY FINANCE & FINANCIAL OPPORTUNITIES FUND|N-2|2007-03-21|edgar/data/1392994/0000875626-07-000689.txt
225843|SENTINEL GROUP FUNDS INC|N-14/A|2007-01-26|edgar/data/225843/0000909012-07-000114.txt
29915|DOW CHEMICAL CO /DE/|8-K|2007-02-20|edgar/data/29915/0001104659-07-012330.txt
35333|FIDELITY SYSTEMATIC INVESTMENT PLANS|485BPOS|2007-01-29|edgar/data/35333/0001022695-07-000020.txt
37996|FORD MOTOR CO|8-K|2007-02-14|edgar/data/37996/0001157523-07-001516.txt
37996|FORD MOTOR CO|8-K|2007-02-14|edgar/data/37996/0001157523-07-001517.txt
38009|FORD MOTOR CREDIT CO|8-K|2007-02-14|edgar/data/38009/0001157523-07-001519.txt
38009|FORD MOTOR CREDIT CO|8-K|2007-02-14|edgar/data/38009/0001157523-07-001520.txt
40545|GENERAL ELECTRIC CO|8-K|2007-03-29|edgar/data/40545/0000040545-07-000018.txt
49905|HARTFORD MUTUAL FUNDS II INC|485APOS|2007-03-15|edgar/data/49905/0000950135-07-001660.txt
63090|MASSACHUSETTS INVESTORS GROWTH STOCK FUND|N-14|2007-03-08|edgar/data/63090/0001104659-07-017434.txt
65433|MEXICO FUND INC|N-2/A|2007-03-12|edgar/data/65433/0001193125-07-052350.txt
65433|MEXICO FUND INC|N-2/A|2007-03-13|edgar/data/65433/0001193125-07-053177.txt
68138|VANGUARD MORGAN GROWTH FUND|485APOS|2007-01-08|edgar/data/68138/0000932471-07-000014.txt
68138|VANGUARD MORGAN GROWTH FUND|485APOS|2007-01-25|edgar/data/68138/0000932471-07-000055.txt
718573|RADYNE CORP|8-K|2007-03-13|edgar/data/718573/0001193125-07-053216.txt
754510|FIDELITY SECURITIES FUND|485BPOS|2007-01-26|edgar/data/754510/0000754510-07-000002.txt
754510|FIDELITY SECURITIES FUND|485BPOS|2007-01-29|edgar/data/754510/0000754510-07-000003.txt
764180|ALTRIA GROUP, INC.|8-K|2007-03-23|edgar/data/764180/0001157523-07-002946.txt
77476|PEPSICO INC|8-K|2007-02-21|edgar/data/77476/0001157523-07-001839.txt
789019|MICROSOFT CORP|8-K|2007-02-27|edgar/data/789019/0001193125-07-039978.txt
796343|ADOBE SYSTEMS INC|10-K/A|2007-02-06|edgar/data/796343/0001104659-07-007412.txt
796343|ADOBE SYSTEMS INC|10-K|2007-02-05|edgar/data/796343/0001104659-07-007286.txt
813623|SWISS HELVETIA FUND, INC.|N-2|2007-03-29|edgar/data/813623/0000899681-07-000265.txt
8670|AUTOMATIC DATA PROCESSING INC|8-K|2007-02-20|edgar/data/8670/0000008670-07-000110.txt
936468|LOCKHEED MARTIN CORP|8-K|2007-03-26|edgar/data/936468/0001193125-07-063810.txt
